category,town,name,url,live_on_site
Food & Drink,Ann Arbor,Afternoon Delight,https://www.afternoondelightcafe.com/specials/,TRUE
Food & Drink,Ann Arbor,"Angelo's 
[Physical gift cards only]",https://www.angelosa2.com/store/gift-cards/,TRUE
Food & Drink,Ann Arbor,Arbor Brewing Co.,https://arborbrewing.com/contact/,TRUE
Food & Drink,Ann Arbor,Ashley's,http://www.ashleys.com/newsite/#!/store,TRUE
Food & Drink,Ann Arbor,Avalon Cafe & Kitchen,https://squareup.com/store/avalon-international-breads/,TRUE
Food & Drink,Ann Arbor,Aventura,https://www.savcohospitality.com/gift-cards,TRUE
Food & Drink,Ann Arbor,Bar Louie,https://www.barlouie.com/gift-cards,TRUE
Food & Drink,Ann Arbor,Bearclaw Coffee Co.,https://www.bearclawcoffee.com/online-store,TRUE
Food & Drink,Ann Arbor,Biercamp,https://squareup.com/gift/1S9HKPQ7A1R3S/order,TRUE
Food & Drink,Ann Arbor,Black Diesel Coffee,https://blackdieselcoffee.com/bdc-shop/,TRUE
Food & Drink,Ann Arbor,Black Pearl Ann Arbor,https://www.blackpearlannarbor.com/home?rq=gift%20card,TRUE
Food & Drink,Ann Arbor,Blank Slate Creamery,https://squareup.com/gift/9QFFCPCZVBV9Q/order,TRUE
Food & Drink,Ann Arbor,Blue Llama Jazz Club,https://www.bluellamaclub.com/store/,TRUE
Food & Drink,Ann Arbor,Blom Meadworks,http://www.drinkblom.com/shop,TRUE
Food & Drink,Ann Arbor,Blue Nile Ethiopian Restaurant,http://www.bluenilemi.com/bluenile/27/content.html,TRUE
Food & Drink,Ann Arbor,Blue Tractor BBQ & Brewery,https://mission86.worldsecuresystems.com/bta/a2/gift-card,TRUE
Food & Drink,Ann Arbor,BTB Burrito,https://www.toasttab.com/btbburrito/giftcards,TRUE
Food & Drink,Ann Arbor,Cardamom,http://www.cardamoma2.com/gift-cards.html,TRUE
Food & Drink,Ann Arbor,Carson's American Bistro,http://carsonsamericanbistro.com/giftcards/,TRUE
Food & Drink,Ann Arbor,Chop House,https://thechophouseannarbor.com/giftcards/,TRUE
Food & Drink,Ann Arbor,Comet Coffee,https://mkt.com/comet-coffee,TRUE
Food & Drink,Ann Arbor,Cottage Inn Pizza,https://cottageinn.com/product/gift-card/,TRUE
Food & Drink,Ann Arbor,"Detroit Street Filling Station
[Physical gift cards only]",https://thelunchrooma2.com/gift-cards-2,TRUE
Food & Drink,Ann Arbor,DiBella's Subs,https://www.dibellas.com/our-story#giftcards,TRUE
Food & Drink,Ann Arbor,Everest Sherpa,https://www.everestsherparestaurant.com/gift-card,TRUE
Food & Drink,Ann Arbor,Frita Batidos,https://squareup.com/gift/T2B8FSYJSAZNF/order,TRUE
Food & Drink,Ann Arbor,Grand Traverse Pie Co.,https://gtpie.com/pie-dough-club/about-dough-card/,TRUE
Food & Drink,Ann Arbor,Grange Kitchen & Bar,https://squareup.com/gift/VVVSEGX08KAD3/order,TRUE
Food & Drink,Ann Arbor,Gratzi,http://gratzirestaurant.com/giftcards/,TRUE
Food & Drink,Ann Arbor,Grizzly Peak Brewing Co.,https://www.grizzlypeak.net/gift-cards,TRUE
Food & Drink,Ann Arbor,Homes Brewery,http://www.homesbrewery.com/shop,TRUE
Food & Drink,Ann Arbor|Detroit|East Lansing|Grand Rapids|Holland|Kalamazoo|Royal Oak,Hopcat,https://hopcat.myguestaccount.com/guest/egift,TRUE
Food & Drink,Ann Arbor,Isalita,https://www.toasttab.com/isalita-cantina/giftcards,TRUE
Food & Drink,Ann Arbor|Dearborn|Detroit|Dexter|Grand Rapids|Royal Oak|Traverse City,Jolly Pumpkin,https://nubco.worldsecuresystems.com/jp/GiftCards,TRUE
Food & Drink,Ann Arbor,Knight's Steakhouse,https://knightsrestaurants.com/gift-cards,TRUE
Food & Drink,Ann Arbor,La Dolce Vita,http://thechophouseannarbor.com/giftcards/,TRUE
Food & Drink,Ann Arbor,Logan Restaurant,http://logan-restaurant.com/gift-certificates,TRUE
Food & Drink,Ann Arbor,Mani Osteria & Bar,https://www.toasttab.com/mani-osteria-bar/giftcards,TRUE
Food & Drink,Ann Arbor,Mikette Bistro,http://www.mikettea2.com/gift-cards,TRUE
Food & Drink,Ann Arbor,Miss Kim,https://squareup.com/gift/3HJRS5Y1XNDHM/order,TRUE
Food & Drink,Ann Arbor,Monahan's Seafood Market,https://monahansseafood.com/shop/store/,TRUE
Food & Drink,Ann Arbor,Old Town Tavern,http://oldtownaa.com/shop/,TRUE
Food & Drink,Ann Arbor,Paesano Restaurant & Wine Bar,https://www.paesanoannarbor.com/paesanosannarbor,TRUE
Food & Drink,Ann Arbor,Palio,https://palioannarbor.com/giftcards/,TRUE
Food & Drink,Ann Arbor,Palm Palace,https://palmpalace.com/giftcard/,TRUE
Food & Drink,Ann Arbor,Pizza House,https://onelink.quickgifts.com/merchant/the-pizza-house-mi/,TRUE
Food & Drink,Ann Arbor,Pointless Brewery & Theatre,https://www.pointlessbrew.com/giftcards,TRUE
Food & Drink,Ann Arbor,Pretzel Bell,https://mission86.worldsecuresystems.com/pb/Pretzel-Bell-Gift-Cards.html,TRUE
Food & Drink,Ann Arbor,Rappourt,https://www.toasttab.com/Rappourt/giftcards,TRUE
Food & Drink,Ann Arbor,Real Seafood Co.,http://realseafoodcoannarbor.com/gifts/,TRUE
Food & Drink,Ann Arbor,RoosRoast,https://www.roosroast.com/collections/gift-guide,TRUE
Food & Drink,Ann Arbor,Salads Up,https://www.toasttab.com/salads-up-madison/giftcards,TRUE
Food & Drink,Ann Arbor,Satchel's BBQ,https://squareup.com/gift/10RMGJMJX06NE/order,TRUE
Food & Drink,Ann Arbor,Sava's,https://www.savcohospitality.com/gift-cards,TRUE
Food & Drink,Ann Arbor,Seva,https://www.sevarestaurant.com/ann-arbor/,TRUE
Food & Drink,Ann Arbor,Slurping Turtle,https://slurpingturtle.securetree.com/,TRUE
Food & Drink,Ann Arbor,Spencer,http://www.spencerannarbor.com/gift-cards,TRUE
Food & Drink,Ann Arbor|Canton|Clinton Township|Grand Rapids|Milford|Shelby Township|Troy|Ypsilanti,Sweetwaters Coffee & Tea,https://sweetwaterscafe.myshopify.com/collections/gift-cards,TRUE
Food & Drink,Ann Arbor,Taste Kitchen,https://swipeit.com/product/1749/taste-kitchen,TRUE
Food & Drink,Ann Arbor,Teahaus,https://teahaus.com/products/gift-card,TRUE
Food & Drink,Ann Arbor,Teaspressa,https://teaspressa.com/products/gift-card,TRUE
Food & Drink,Ann Arbor,The Big Salad,https://www.mybigsalad.com/gift-card/,TRUE
Food & Drink,Ann Arbor,The Earle,https://theearle.com/gift-certificates/,TRUE
Food & Drink,Ann Arbor,The Grotto Watering Hole,https://www.toasttab.com/thegrotto/giftcards,TRUE
Food & Drink,Ann Arbor,"The Lunch Room
[Physical gift cards only]",https://thelunchrooma2.com/gift-cards-2,TRUE
Food & Drink,Ann Arbor,The Original Cottage Inn,https://www.originalcottageinn.com/gift-cards/,TRUE
Food & Drink,Ann Arbor,The Raven's Club,http://theravensclub.com/store/,TRUE
Food & Drink,Ann Arbor,The Songbird Cafe,https://www.thesongbirdcafeannarbor.com/store,TRUE
Food & Drink,Ann Arbor,The Standard Bistro & Larder,https://www.toasttab.com/the-standard-bistro-larder/giftcards,TRUE
Food & Drink,Ann Arbor,Vinology,https://vinowinebars.cardfoundry.com/giftcards.php,TRUE
Food & Drink,Ann Arbor,Weber's Restaurant,https://www.webersrestaurant.com/gift-card/,TRUE
Food & Drink,Ann Arbor,Wilma's,https://www.savcohospitality.com/gift-cards,TRUE
Food & Drink,Ann Arbor,Wolverine State Brewing Co.,https://www.wolverinebeer.com/merchandise,TRUE
Food & Drink,Ann Arbor,York Food + Drink,https://www.toasttab.com/yorka2/giftcards,TRUE
Food & Drink,Ann Arbor,Zingerman's (All locations),https://www.zingermans.com/Product.aspx?ProductID=G-GIF,TRUE
Food & Drink,Chelsea,Common Grill,https://www.commongrill.com/store/gift-cards/,TRUE
Books & Gifts,Ann Arbor,Rock Paper Scissors,https://rockpaperscissorsshop.com/products/gift-card,TRUE
Books & Gifts,Ann Arbor,Literati,https://www.literatibookstore.com/literati-gift-cards,TRUE
Food & Drink,Ypsilanti,Sidetrack Bar & Grill,https://sidetrack-bar-and-grill.myshopify.com/products/gift-cards,TRUE
Food & Drink,Ypsilanti,Beezy's Cafe,https://squareup.com/gift/9VGA49B74R4RM/order,TRUE
Food & Drink,Ypsilanti,Red Rock Barbecue,https://www.toasttab.com/red-rock-downtown-barbecue/giftcards,TRUE
Food & Drink,Ypsilanti,Tower Inn Cafe,https://www.towerinncafe.com/shop,TRUE
Books & Gifts,Saline,Rock Paper Scissors,https://rockpaperscissorsshop.com/products/gift-card,TRUE
Food & Drink,East Lansing,Crunchy's,https://www.toasttab.com/crunchy-s/giftcards,TRUE
Food & Drink,Albion ,Albion Malleable Brewing Co.,https://squareup.com/gift/2TSJWJVJTG21T/order,TRUE
Food & Drink,Detroit|Lansing,Green Dot Stables,https://greendotstables.cardfoundry.com/giftcards.php,TRUE
Food & Drink,Detroit,Johnny Noodle King,https://greendotstables.cardfoundry.com/giftcards.php,TRUE
